SCATS_Number,SCATS Neighbours,NB_LATITUDE,NB_LONGITUDE,V00
2827,4051,-37.78093,145.07733,26
2827,4051,-37.78093,145.07733,25
2827,4051,-37.78093,145.07733,30
2827,4051,-37.78093,145.07733,29
2827,4051,-37.78093,145.07733,48
2827,4051,-37.78093,145.07733,71
2827,4051,-37.78093,145.07733,103
2827,4051,-37.78093,145.07733,41
2827,4051,-37.78093,145.07733,29
2827,4051,-37.7820873,145.0778256,72
2827,4051,-37.7820873,145.0778256,26
2827,4051,-37.7820873,145.0778256,17
2827,4051,-37.7820873,145.0778256,26
2827,4051,-37.7820873,145.0778256,35
2827,4051,-37.7820873,145.0778256,42
2827,4051,-37.7820873,145.0778256,42
2827,4051,-37.7820873,145.0778256,64
2827,4051,-37.7820873,145.0778256,21
2827,4051,-37.7820873,145.0778256,16
2827,4051,-37.7820873,145.0778256,31
2827,4051,-37.7820873,145.0778256,27
2827,4051,-37.7820873,145.0778256,41
2827,4051,-37.7820873,145.0778256,49
2827,4051,-37.7820873,145.0778256,72
2827,4051,-37.7820873,145.0778256,30
2827,4051,-37.7820873,145.0778256,30
2827,4051,-37.7820873,145.0778256,23
2827,4051,-37.7820873,145.0778256,30
2827,4051,-37.7820873,145.0778256,33
2827,4051,-37.7820873,145.0778256,52
2827,4051,-37.7820873,145.0778256,72
2827,4051,-37.7820873,145.0778256,25
2827,4051,-37.7820873,145.0778256,25
2827,4051,-37.7820873,145.0778256,17
2827,4051,-37.7820873,145.0778256,25
2827,4051,-37.7820873,145.0778256,25
2827,4051,-37.7820873,145.0778256,54
2827,4051,-37.7820873,145.0778256,67
2827,4051,-37.7820873,145.0778256,31
2827,4051,-37.7820873,145.0778256,22
2827,4051,-37.78267,145.07729,29
2827,4051,-37.78267,145.07729,7
2827,4051,-37.78267,145.07729,12
2827,4051,-37.78267,145.07729,7
2827,4051,-37.78267,145.07729,15
2827,4051,-37.78267,145.07729,7
2827,4051,-37.78267,145.07729,42
2827,4051,-37.78267,145.07729,30
2827,4051,-37.78267,145.07729,13
2827,4051,-37.78267,145.07729,9
2827,4051,-37.78267,145.07729,10
2827,4051,-37.78267,145.07729,12
2827,4051,-37.78267,145.07729,16
2827,4051,-37.78267,145.07729,25
2827,4051,-37.78267,145.07729,32
2827,4051,-37.78267,145.07729,17
2827,4051,-37.78267,145.07729,16
2827,4051,-37.78267,145.07729,19
2827,4051,-37.78267,145.07729,23
2827,4051,-37.78267,145.07729,25
2827,4051,-37.78267,145.07729,53
2827,4051,-37.78267,145.07729,42
2827,4051,-37.78267,145.07729,8
2827,4051,-37.78267,145.07729,14
2827,4051,-37.78267,145.07729,21
2827,4051,-37.78267,145.07729,9
2827,4051,-37.78267,145.07729,17
2827,4051,-37.78267,145.07729,29
2827,4051,-37.78267,145.07729,38
2827,4051,-37.78267,145.07729,11
2827,4051,-37.78267,145.07729,9
2827,4051,-37.78127,145.07688,91
2827,4051,-37.78127,145.07688,32
2827,4051,-37.78127,145.07688,34
2827,4051,-37.78127,145.07688,38
2827,4051,-37.78127,145.07688,48
2827,4051,-37.78127,145.07688,48
2827,4051,-37.78127,145.07688,93
2827,4051,-37.78127,145.07688,137
2827,4051,-37.78127,145.07688,37
2827,4051,-37.78127,145.07688,29
2827,4051,-37.78127,145.07688,63
2827,4051,-37.78127,145.07688,52
2827,4051,-37.78127,145.07688,42
2827,4051,-37.78127,145.07688,92
2827,4051,-37.78127,145.07688,131
2827,4051,-37.78127,145.07688,32
